Location,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1,01-01-11,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,16
1,2,01-01-11,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,40
1,3,01-01-11,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,32
1,4,01-01-11,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,13
1,5,01-01-11,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,1
1,6,01-01-11,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
1,7,01-01-11,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2
1,8,01-01-11,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,3
1,9,01-01-11,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,8
1,10,01-01-11,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,14
1,11,01-01-11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
1,12,01-01-11,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
1,13,01-01-11,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
1,14,01-01-11,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
1,15,01-01-11,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
1,16,01-01-11,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
1,17,01-01-11,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
1,18,01-01-11,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
1,19,01-01-11,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
1,20,01-01-11,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
1,21,01-01-11,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
1,22,01-01-11,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
1,23,01-01-11,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
1,24,01-01-11,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
1,25,02-01-11,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
1,26,02-01-11,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
1,27,02-01-11,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,9
1,28,02-01-11,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
1,29,02-01-11,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
1,30,02-01-11,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
1,31,02-01-11,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
1,32,02-01-11,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
1,33,02-01-11,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
1,34,02-01-11,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
1,35,02-01-11,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
1,36,02-01-11,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
1,37,02-01-11,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
1,38,02-01-11,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
1,39,02-01-11,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
1,40,02-01-11,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
1,41,02-01-11,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
1,42,02-01-11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
1,43,02-01-11,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
1,44,02-01-11,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
1,45,02-01-11,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
1,46,02-01-11,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
1,47,02-01-11,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
1,48,03-01-11,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
1,49,03-01-11,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
1,50,03-01-11,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
1,51,03-01-11,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
1,52,03-01-11,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
1,53,03-01-11,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64
1,54,03-01-11,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
1,55,03-01-11,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
1,56,03-01-11,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
1,57,03-01-11,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
1,58,03-01-11,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
1,59,03-01-11,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
1,60,03-01-11,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
1,61,03-01-11,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
1,62,03-01-11,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
1,63,03-01-11,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
1,64,03-01-11,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
1,65,03-01-11,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,110
1,66,03-01-11,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
1,67,03-01-11,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
1,68,03-01-11,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
1,69,03-01-11,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
1,70,04-01-11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
1,71,04-01-11,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
1,72,04-01-11,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
1,73,04-01-11,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
1,74,04-01-11,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
1,75,04-01-11,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
1,76,04-01-11,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
1,77,04-01-11,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
1,78,04-01-11,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
1,79,04-01-11,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
1,80,04-01-11,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
1,81,04-01-11,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
1,82,04-01-11,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
1,83,04-01-11,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
1,84,04-01-11,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
1,85,04-01-11,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
1,86,04-01-11,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
