,app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather.code,weather.description,weather.icon,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd,city,lon,lat,place,weather_code,season,season_code,dayofweek,workingday,holiday,year,month,day,hour
0,28.7,100,100,65,0,2019-07-19 09:00:00,19.9,115.01,905.37,886.16,263.072,d,70,2.125,903.775,64,1002.02,0,0,221.54,27.3,2019-07-19 14:30:00,2019-07-19T09:00:00,1563526800,2.61114,10.3523,520,Light shower rain,r04d,W,west,278,5.00278,4.14287,Bengaluru,77.67,12.93,Bellandur,3,Monsoon,3,4,0,0,2019,7,14,14
1,28.5,100,100,55,5,2019-07-19 10:00:00,19.9,105.5,858.57,709.94,262.601,d,65,1.9375,903.062,65,1001.25,0,0,177.485,27.1,2019-07-19 15:30:00,2019-07-19T10:00:00,1563530400,1.82647,8.84719,520,Light shower rain,r04d,W,west,275,4.70037,3.902,Bengaluru,77.67,12.93,Bellandur,3,Monsoon,3,4,0,0,2019,7,15,15
2,26.7,100,100,47,12,2019-07-19 11:00:00,20.0,90.9,777.19,489.14,261.619,d,70,2.25,902.832,69,1001.06,0,0,122.285,26.3,2019-07-19 16:30:00,2019-07-19T11:00:00,1563534000,1.16783,4.81069,520,Light shower rain,r04d,W,west,261,5.42028,4.33264,Bengaluru,77.67,12.93,Bellandur,3,Monsoon,3,4,0,0,2019,7,16,16
3,25.9,100,100,40,21,2019-07-19 12:00:00,20.3,68.44,624.4,248.14,261.582,d,70,2.375,903.484,73,1001.97,0,0,62.035,25.4,2019-07-19 17:30:00,2019-07-19T12:00:00,1563537600,0.797034,4.97087,520,Light shower rain,r04d,WSW,west-southwest,243,6.30291,4.58994,Bengaluru,77.67,12.93,Bellandur,3,Monsoon,3,4,0,0,2019,7,17,17
4,25.1,100,100,4,90,2019-07-19 13:00:00,20.4,26.78,221.91,31.66,263.298,d,70,2.5625,904.015,77,1002.77,0,0,7.915,24.6,2019-07-19 18:30:00,2019-07-19T13:00:00,1563541200,0.699871,4.75703,201,Thunderstorm with rain,t02d,WSW,west-southwest,242,8.2002,5.03883,Bengaluru,77.67,12.93,Bellandur,4,Monsoon,3,4,0,0,2019,7,18,18
5,24.0,100,100,32,95,2019-07-19 14:00:00,20.4,0.0,0.0,0.0,263.782,n,75,2.8125,904.972,83,1003.63,0,0,0.0,23.4,2019-07-19 19:30:00,2019-07-19T14:00:00,1563544800,0.0,4.31827,201,Thunderstorm with rain,t02n,WSW,west-southwest,238,10.5025,7.10647,Bengaluru,77.67,12.93,Bellandur,4,Monsoon,3,4,0,0,2019,7,19,19
6,23.1,100,100,54,97,2019-07-19 15:00:00,20.1,0.0,0.0,0.0,263.408,n,65,1.6875,905.348,86,1004.18,0,0,0.0,22.6,2019-07-19 20:30:00,2019-07-19T15:00:00,1563548400,0.0,11.7086,201,Thunderstorm with rain,t02n,WSW,west-southwest,239,11.5109,7.67503,Bengaluru,77.67,12.93,Bellandur,4,Monsoon,3,4,0,0,2019,7,20,20
7,22.1,100,100,58,97,2019-07-19 16:00:00,19.4,0.0,0.0,0.0,263.404,n,60,1.375,905.96,87,1004.68,0,0,0.0,21.6,2019-07-19 21:30:00,2019-07-19T16:00:00,1563552000,0.0,8.34674,201,Thunderstorm with rain,t02n,WSW,west-southwest,242,13.2315,8.46594,Bengaluru,77.67,12.93,Bellandur,4,Monsoon,3,4,0,0,2019,7,21,21
8,22.3,100,100,57,98,2019-07-19 17:00:00,18.7,0.0,0.0,0.0,264.138,n,35,0.5,905.918,82,1005.15,0,0,0.0,21.9,2019-07-19 22:30:00,2019-07-19T17:00:00,1563555600,0.0,24.1348,804,Overcast clouds,c04n,WSW,west-southwest,246,15.9206,8.65091,Bengaluru,77.67,12.93,Bellandur,1,Monsoon,3,4,0,0,2019,7,22,22
9,22.6,100,100,49,97,2019-07-19 18:00:00,18.8,0.0,0.0,0.0,264.121,n,0,0.0,906.4,81,1005.72,0,0,0.0,22.2,2019-07-19 23:30:00,2019-07-19T18:00:00,1563559200,0.0,24.135,804,Overcast clouds,c04n,WSW,west-southwest,248,15.4364,8.81054,Bengaluru,77.67,12.93,Bellandur,1,Monsoon,3,4,0,0,2019,7,23,23
