Date,Holiday
"Jan 01, 2018",New Year's Day
"Jan 14, 2018",Makar Sankranti / Pongal
"Jan 26, 2018",Republic Day
"Feb 14, 2018",Maha Shivaratri
"Mar 02, 2018",Holi
"Mar 18, 2018",Ugadi / Gudi Padwa
"Mar 25, 2018",Ram Navami
"Mar 29, 2018",Mahavir Jayanti
"Mar 30, 2018",Good Friday
"Apr 30, 2018",Budhha Purnima
"May 01, 2018",Labor Day
"Jun 16, 2018",Eid-ul-Fitar
"Jul 14, 2018",Rath Yatra
"Aug 15, 2018",Independence Day
"Aug 22, 2018",Bakri Id / Eid ul-Adha
"Aug 25, 2018",Onam
"Aug 26, 2018",Raksha Bandhan
"Sep 03, 2018",Janmashtami
"Sep 13, 2018",Vinayaka Chaturthi
"Sep 21, 2018",Muharram
"Oct 02, 2018",Mathatma Gandhi Jayanti
"Oct 19, 2018",Dussehra / Dasara
"Nov 07, 2018",Diwali / Deepavali
"Nov 21, 2018",Milad un Nabi
"Nov 23, 2018",Guru Nanak's Birthday
"Dec 25, 2018",Christmas
