"Permanent Location Code Number","District / Taluk / Village / Town / Ward","","Total number of House holds","Total Population","Sex            Ratio","Sex Ratio            0-6 age group","Literacy Rates (7+)","Work Participation Rate","Population"
"","","","","","","","","","Scheduled Castes"
"","","Female","","Person","","","Person","Male","Male"
"1","2","17","3","4","7","8","9","12","14"
"","","","","","","","","",""
"20","Bangalore District","41,047","14,60,697","65,37,124","908","943","83.0","58.0","4,35,162"
"","","8,797","1,68,445","7,77,137","913","953","70.2","60.0","98,462"
"","","32,250","12,92,252","57,59,987","907","941","84.7","57.7","3,36,700"
"","","","","","","","","",""
"","Bangalore UA","31,954","12,78,333","57,01,446","908","941","87.7","57.6","3,32,365"
"42008000","Pattanagere (CMC+OG)","773","24,603","1,05,699","881","926","78.7","57.6","6,604"
"42008000","Pattanagere (CMC)","750","22,282","96,385","879","931","78.9","57.3","5,613"
"42008000","Ward No.1","27","731","3,329","961","848","79.5","57.4","554"
"42008000","Ward No.2","70","856","3,449","848","1,056","74.7","62.3","263"
"42008000","Ward No.3","97","484","2,173","877","1,296","70.6","62.4","47"
"42008000","Ward No.4","28","641","2,582","910","1,031","80.7","60.1","39"
"42008000","Ward No.5","18","694","2,725","852","1,172","75.5","60.6","401"
"42008000","Ward No.6","17","892","3,734","855","1,106","78.8","56.5","219"
"42008000","Ward No.7","20","735","3,260","804","992","85.0","50.9","210"
"42008000","Ward No.8","29","688","2,875","846","1,000","83.2","56.9","166"
"42008000","Ward No.9","11","385","1,704","794","1,032","92.3","50.0","86"
"42008000","Ward No.10","10","699","3,012","872","977","78.0","57.2","333"
"42008000","Ward No.11","6","714","2,947","899","901","73.2","58.6","258"
"42008000","Ward No.12","18","810","3,330","877","936","87.4","57.2","93"
"42008000","Ward No.13","7","307","1,387","792","964","85.9","50.4","110"
"42008000","Ward No.16","10","530","2,188","877","839","78.2","60.5","190"
"42008000","Ward No.17","6","307","1,355","917","1,294","86.2","57.1","18"
"42008000","Ward No.18","8","402","1,699","962","1,048","82.5","58.1","45"
"42008000","Ward No.19","0","366","1,440","900","1,000","84.5","61.6","20"
"42008000","Ward No.20","8","374","1,683","1,052","760","84.3","58.5","93"
"42008000","Ward No.21","4","366","1,581","790","650","61.0","60.8","240"
"42008000","Ward No.22","4","565","2,903","679","531","84.1","41.5","350"
"42008000","Ward No.23","13","986","4,309","873","832","83.8","55.0","431"
"42008000","Ward No.24","42","1,502","6,329","958","1,019","88.5","55.4","156"
"42008000","Ward No.25","24","571","2,523","973","1,080","65.0","59.3","312"
"42008000","Ward No.26","21","248","962","928","849","73.3","56.7","30"
"42008000","Ward No.27","25","977","3,917","918","821","63.4","60.0","191"
"42008000","Ward No.28","21","1,692","8,473","875","866","80.4","54.5","61"
"42008000","Ward No.29","133","1,505","6,289","905","967","80.9","59.9","202"
"42008000","Ward No.30","37","1,452","5,916","802","928","82.8","63.7","231"
